running ID,Niskin_Id,grouping_col,Event,Latitude,Longitude,Bottle,Date,Potemp090C,Potemp190C,PrDM,DepSM,T090C,T190C,Sal00,Sal11,Sbeox0_umol/L,Sbeox1_umol/L,FlECO-AFL,Spalte1,Depth_(m),Fix_Temp_C,C(O2)_umol/L,Flag,Fix_Temp_C_dup,C(O2)_umol/L_dup,Flag_dup,NO3+NO2_mean,QF,NO3+NO2_std,QF.1,NO3+NO2_CF,QF.2,NO3+NO2_c_mean,QF.3,NO3+NO2_c_std,QF.4,NO2_mean,QF.5,NO2_std,QF.6,NO2_CF,QF.7,NO2_c_mean,QF.8,NO2_c_std,QF.9,Si(OH)4_mean,QF.10,Si(OH)4_std,QF.11,Si(OH)4_CF,QF.12,Si(OH)4_c_mean,QF.13,Si(OH)4_c_std,QF.14,PO4_mean,QF.15,PO4_std,QF.16,PO4_CF,QF.17,PO4_c_mean,QF.18,PO4_c_std,QF.19,NH4_mean,QF.20,NH4_std,QF.21,NH4_CF,QF.22,NH4_c_mean,QF.23,NH4_c_std,QF.24,TDN_mean,QF.25,TDN_std,QF.26,TDN_CF,QF.27,TDN_c_mean,QF.28,TDN_c_std,QF.29,TDP_mean,QF.30,TDP_std,QF.31,TDP_CF,QF.32,TDP_c_mean,QF.33,TDP_c_std,QF.34,Density_at_lab_temp,Density_Anomaly_at_lab_temp,Density_at_fix_temp,NO3+NO2_c_mean_umolkg,NO3+NO2_c_std_umolkg,NO2_c_mean_umolkg,NO2_c_std_umolkg,Si(OH)4_c_mean_umolkg,Si(OH)4_c_std_umolkg,PO4_c_mean_umolkg,PO4_c_std_umolkg,NH4_c_mean_umolkg,NH4_c_std_umolkg,TDN_c_mean_umolkg,TDN_c_std_umolkg,TDP_c_mean_umolkg,TDP_c_std_umolkg,C(O2)_umol/L_umolkg
21,PS138_2-1-N21,PS138_2-1_25,PS138_2-1,80.948096,15.35065,21,Aug 06 2023,-1.3986,-1.3988,25.025,24.758,-1.3981,-1.3983,33.9132,33.9132,372.95,374.01,1.8187,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.235882,1.024235882,,,,,,,,,,,,,,,,
22,PS138_2-1-N22,PS138_2-1_2,PS138_2-1,80.948096,15.35065,22,Aug 06 2023,1.2313,0.9184,2.126,2.104,1.2314,0.9185,31.9871,31.8921,376.68,388.46,0.7051,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.757533,1.022757533,,,,,,,,,,,,,,,,
23,PS138_2-1-N23,PS138_2-1_2,PS138_2-1,80.948096,15.35065,23,Aug 06 2023,0.8931,0.7879,2.126,2.103,0.8932,0.788,31.8793,31.8221,378.17,390.73,0.5704,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.674793,1.022674793,,,,,,,,,,,,,,,,
24,PS138_2-1-N24,PS138_2-1_2,PS138_2-1,80.948096,15.35065,24,Aug 06 2023,0.9881,0.7873,2.11,2.088,0.9882,0.7874,31.9053,31.8266,379.41,388.6,0.5716,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.694749,1.022694749,,,,,,,,,,,,,,,,
25,PS138_19-1-N1,PS138_19-1_47,PS138_19-1,83.8683,33.208806,1,Aug 10 2023,-1.7949,-1.7966,47.869,47.352,-1.794,-1.7956,34.3662,34.3664,348.46,351.67,1.3229,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.583575,1.024583575,,,,,,,,,,,,,,,,
26,PS138_19-1-N2,PS138_19-1_47,PS138_19-1,83.8683,33.208806,2,Aug 10 2023,-1.7946,-1.7961,47.855,47.339,-1.7937,-1.7952,34.3662,34.3655,348.61,351.28,1.378,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.583575,1.024583575,,,,,,,,,,,,,,,,
27,PS138_19-1-N3,PS138_19-1_5,PS138_19-1,83.8683,33.208806,3,Aug 10 2023,-1.7952,-1.7913,47.846,47.33,-1.7942,-1.7904,34.3641,34.3665,348.77,351.92,1.437,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.581963,1.024581963,,,,,,,,,,,,,,,,
28,PS138_19-1-N4,PS138_19-1_47,PS138_19-1,83.8683,33.208806,4,Aug 10 2023,-1.7955,-1.7935,47.867,47.351,-1.7946,-1.7926,34.3642,34.3665,348.77,352.46,1.4553,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.58204,1.02458204,,,,,,,,,,,,,,,,
29,PS138_19-1-N5,PS138_19-1_5,PS138_19-1,83.8683,33.208806,5,Aug 10 2023,-1.791,-1.7884,47.857,47.34,-1.7901,-1.7875,34.3642,34.3668,349.07,351.11,1.4072,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.58204,1.02458204,,,,,,,,,,,,,,,,
30,PS138_19-1-N6,PS138_19-1_47,PS138_19-1,83.8683,33.208806,6,Aug 10 2023,-1.7959,-1.7921,47.845,47.328,-1.795,-1.7912,34.3644,34.3665,348.7,351.43,1.429,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.582194,1.024582194,,,,,,,,,,,,,,,,
31,PS138_19-1-N7,PS138_19-1_47,PS138_19-1,83.8683,33.208806,7,Aug 10 2023,-1.794,-1.7901,47.861,47.345,-1.7931,-1.7892,34.3642,34.3659,348.74,352.08,1.3734,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.58204,1.02458204,,,,,,,,,,,,,,,,
32,PS138_19-1-N8,PS138_19-1_47,PS138_19-1,83.8683,33.208806,8,Aug 10 2023,-1.7921,-1.7878,47.836,47.319,-1.7911,-1.7869,34.3646,34.3656,348.57,352.64,1.3579,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.582347,1.024582347,,,,,,,,,,,,,,,,
33,PS138_19-1-N9,PS138_19-1_47,PS138_19-1,83.8683,33.208806,9,Aug 10 2023,-1.7923,-1.7898,47.846,47.329,-1.7913,-1.7888,34.3639,34.3655,349.18,351.75,1.3814,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.58181,1.02458181,,,,,,,,,,,,,,,,
