asv	TDN_c_mean	NH4_c_mean	lat	NO2_c_mean	NO3.NO2_c_mean	lon	PO4_c_mean	TDP_c_mean	Si.OH.4_c_mean
asv165	0.41	0.3	0.19	0.23	0.02	-0.2	0.03	0.01	-0.13
asv168	0.56	0.38	0.23	0.16	-0.07	-0.12	0.11	0.14	-0.06
asv169	0.35	0.1	0.15	-0.05	-0.17	0.13	0.31	0.41	0.3
asv170	0.43	0.17	0.19	0.02	-0.14	0.05	0.28	0.37	0.23
asv172	0.39	0.16	0.15	-0.06	-0.18	0.12	0.26	0.35	0.23
asv180	0.13	-0.15	0.2	0.17	-0.01	-0.06	0.4	0.45	0.46
asv183	0.56	0.28	0.25	0.1	-0.13	-0.02	0.28	0.35	0.17
asv185	0.61	0.36	0.28	0.19	-0.08	-0.12	0.2	0.24	0.03
asv190	0.65	0.4	0.32	0.32	-0.01	-0.25	0.17	0.18	-0.04
asv196	0.59	0.31	0.28	0.17	-0.09	-0.09	0.25	0.31	0.12
asv200	0.6	0.41	0.26	0.22	-0.05	-0.17	0.11	0.13	-0.08
asv202	0.53	0.28	0.24	0.13	-0.1	-0.06	0.24	0.29	0.12
asv209	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv216	0.62	0.31	0.32	0.23	-0.08	-0.13	0.29	0.34	0.15
asv224	0.38	0.15	0.14	-0.08	-0.18	0.14	0.27	0.36	0.24
asv231	0.45	0.14	0.23	0.08	-0.13	0.02	0.35	0.43	0.3
asv232	0.13	-0.14	0.17	0.08	-0.06	0.03	0.39	0.46	0.47
asv233	0.37	0.25	0.14	0.07	-0.06	-0.05	0.07	0.09	-0.04
asv240	0.54	0.3	0.22	0.06	-0.14	0	0.22	0.28	0.1
asv244	0.49	0.21	0.22	0.04	-0.15	0.04	0.3	0.38	0.23
asv246	0.39	0.11	0.25	0.2	-0.04	-0.1	0.31	0.35	0.25
asv251	0.55	0.26	0.25	0.09	-0.13	-0.01	0.29	0.36	0.18
asv254	0.38	0.21	0.13	-0.02	-0.13	0.06	0.16	0.22	0.08
asv255	0.25	0.04	0.1	-0.11	-0.17	0.17	0.28	0.37	0.3
asv265	0.54	0.26	0.24	0.08	-0.14	0	0.28	0.35	0.18
asv276	0.6	0.41	0.27	0.27	-0.01	-0.22	0.1	0.1	-0.1
asv289	0.22	-0.02	0.11	-0.09	-0.16	0.17	0.33	0.43	0.38
asv297	0.57	0.28	0.26	0.12	-0.12	-0.04	0.28	0.35	0.17
asv303	0.56	0.28	0.25	0.11	-0.12	-0.03	0.27	0.33	0.15
asv318	0.37	0.15	0.15	-0.02	-0.15	0.08	0.24	0.32	0.2
asv320	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv327	0.33	0.11	0.21	0.17	-0.03	-0.1	0.24	0.27	0.18
asv330	0.57	0.35	0.26	0.21	-0.05	-0.15	0.16	0.19	0
asv332	0.45	0.16	0.23	0.08	-0.12	0.01	0.33	0.4	0.27
asv344	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv346	0.46	0.29	0.15	0	-0.14	0.04	0.14	0.2	0.03
asv378	0.44	0.16	0.2	0.01	-0.16	0.07	0.31	0.39	0.26
asv390	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv395	0.55	0.36	0.28	0.32	0.02	-0.26	0.11	0.09	-0.09
asv396	0.33	0.18	0.09	-0.1	-0.16	0.13	0.15	0.22	0.11
asv398	0.46	0.18	0.23	0.11	-0.1	-0.03	0.29	0.36	0.22
asv400	0.67	0.44	0.34	0.38	0.03	-0.31	0.13	0.12	-0.1
asv401	0.21	-0.08	0.15	-0.03	-0.14	0.12	0.39	0.49	0.46
asv404	0.41	0.27	0.17	0.11	-0.05	-0.08	0.09	0.11	-0.03
asv409	0.59	0.24	0.33	0.25	-0.07	-0.14	0.36	0.42	0.25
asv411	0.3	0.11	0.14	0.02	-0.1	0.03	0.21	0.27	0.18
asv412	0.45	0.17	0.27	0.22	-0.05	-0.12	0.3	0.35	0.22
asv424	0.11	-0.11	0.06	-0.16	-0.18	0.23	0.34	0.44	0.43
asv425	0.37	0.2	0.11	-0.09	-0.17	0.13	0.17	0.24	0.11
asv436	0.65	0.44	0.32	0.36	0.02	-0.29	0.11	0.1	-0.12
asv438	0.65	0.43	0.33	0.4	0.04	-0.33	0.11	0.09	-0.13
asv439	0.55	0.38	0.24	0.23	-0.03	-0.18	0.1	0.1	-0.09
asv441	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv453	0.54	0.27	0.23	0.08	-0.14	0	0.26	0.33	0.16
asv454	0.33	0.12	0.11	-0.12	-0.19	0.18	0.25	0.35	0.25
asv460	0.59	0.22	0.36	0.3	-0.05	-0.18	0.39	0.44	0.28
asv461	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv463	0.13	-0.08	0.05	-0.19	-0.19	0.25	0.32	0.43	0.4
asv469	0.65	0.44	0.31	0.33	0	-0.27	0.11	0.11	-0.11
asv473	0.57	0.27	0.27	0.14	-0.12	-0.05	0.3	0.37	0.19
asv475	0.48	0.18	0.24	0.06	-0.14	0.03	0.34	0.43	0.29
asv476	0.63	0.32	0.31	0.21	-0.09	-0.12	0.28	0.33	0.13
asv479	0.16	-0.13	0.21	0.18	-0.01	-0.07	0.4	0.45	0.45
asv482	0.07	-0.11	0.05	-0.13	-0.14	0.19	0.29	0.38	0.38
asv484	0.41	0.3	0.1	-0.05	-0.14	0.06	0.07	0.12	-0.04
asv485	0.51	0.2	0.25	0.07	-0.14	0.02	0.34	0.42	0.27
asv492	0.52	0.34	0.18	0.05	-0.12	-0.01	0.13	0.17	-0.01
asv503	0.12	-0.15	0.14	0	-0.1	0.1	0.4	0.49	0.49
asv505	0.5	0.23	0.21	0.02	-0.16	0.05	0.28	0.37	0.2
asv510	0.45	0.17	0.2	0.01	-0.16	0.07	0.3	0.39	0.25
asv516	0.5	0.22	0.23	0.07	-0.13	0.01	0.29	0.36	0.21
