asv	TDN_c_mean	NH4_c_mean	lat	NO2_c_mean	NO3.NO2_c_mean	lon	PO4_c_mean	TDP_c_mean	Si.OH.4_c_mean
asv2961	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv2989	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv3028	0.11	-0.15	0.15	0.06	-0.06	0.03	0.37	0.44	0.45
asv3029	0.64	0.38	0.32	0.3	-0.03	-0.22	0.2	0.21	0.01
asv3035	-0.04	-0.02	-0.14	-0.38	-0.2	0.35	0.02	0.1	0.09
asv3089	-0.02	-0.04	-0.12	-0.38	-0.22	0.37	0.08	0.18	0.17
asv3106	0.53	0.27	0.23	0.09	-0.13	-0.02	0.25	0.32	0.15
asv3113	0.13	-0.16	0.2	0.16	-0.02	-0.04	0.4	0.46	0.47
asv3124	0.51	0.26	0.26	0.17	-0.07	-0.1	0.24	0.29	0.13
asv3162	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv3297	0.47	0.22	0.22	0.1	-0.1	-0.03	0.24	0.3	0.16
asv3301	0.17	-0.09	0.1	-0.12	-0.17	0.2	0.37	0.48	0.46
asv3313	0.55	0.36	0.27	0.28	0	-0.23	0.11	0.1	-0.08
asv3323	0.19	-0.09	0.22	0.2	0	-0.09	0.36	0.41	0.39
asv3411	-0.03	-0.01	-0.15	-0.41	-0.22	0.38	0.02	0.11	0.09
asv3416	0.65	0.43	0.3	0.3	-0.02	-0.23	0.13	0.14	-0.08
asv3453	0.06	-0.12	0.05	-0.1	-0.12	0.16	0.27	0.35	0.36
asv3474	0.37	0.26	0.11	-0.01	-0.11	0.03	0.06	0.1	-0.04
asv3543	0.44	0.22	0.17	-0.01	-0.15	0.07	0.23	0.31	0.16
asv3578	0.46	0.19	0.21	0.02	-0.15	0.05	0.3	0.39	0.25
asv3586	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv3604	0.45	0.16	0.23	0.09	-0.11	-0.01	0.31	0.38	0.25
asv3639	0.1	-0.17	0.17	0.11	-0.04	0	0.39	0.46	0.48
asv3663	0.01	-0.06	-0.08	-0.34	-0.22	0.35	0.14	0.25	0.24
asv3762	0.65	0.42	0.32	0.35	0.01	-0.28	0.14	0.13	-0.09
asv3763	0.64	0.43	0.3	0.33	0	-0.27	0.11	0.1	-0.11
asv3766	0.64	0.35	0.33	0.3	-0.03	-0.21	0.24	0.27	0.07
asv3774	0.17	-0.05	0.11	-0.05	-0.12	0.12	0.31	0.39	0.37
asv3792	0.4	0.16	0.17	0	-0.15	0.07	0.27	0.35	0.22
asv3793	0.59	0.36	0.28	0.24	-0.04	-0.17	0.17	0.2	0
asv3828	0.63	0.37	0.3	0.26	-0.05	-0.18	0.2	0.23	0.02
asv3832	0.63	0.33	0.35	0.33	-0.02	-0.24	0.26	0.29	0.09
asv3836	0.63	0.33	0.31	0.24	-0.07	-0.15	0.27	0.31	0.11
asv3871	0.58	0.38	0.28	0.27	-0.01	-0.21	0.12	0.13	-0.07
asv3896	0.52	0.3	0.25	0.21	-0.04	-0.14	0.18	0.21	0.04
asv3966	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv3975	0.33	0.17	0.16	0.11	-0.05	-0.06	0.14	0.16	0.06
asv4232	0.39	0.08	0.24	0.13	-0.09	-0.03	0.36	0.43	0.33
asv4249	0.42	0.07	0.3	0.22	-0.05	-0.1	0.42	0.48	0.38
asv4276	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv4293	0.41	0.17	0.22	0.14	-0.06	-0.07	0.24	0.28	0.16
asv4396	0.16	-0.12	0.2	0.15	-0.02	-0.04	0.39	0.44	0.44
asv4398	0.34	0.2	0.07	-0.14	-0.19	0.17	0.14	0.22	0.09
asv4466	0.56	0.23	0.32	0.24	-0.06	-0.13	0.34	0.39	0.23
asv4549	0.01	-0.03	-0.1	-0.37	-0.23	0.37	0.11	0.21	0.2
asv4561	0.51	0.26	0.21	0.06	-0.13	0.01	0.24	0.31	0.14
asv4596	0.12	-0.16	0.18	0.11	-0.04	0	0.41	0.47	0.48
asv4614	0.42	0.24	0.26	0.34	0.06	-0.27	0.13	0.11	-0.02
asv4633	0.41	0.21	0.2	0.13	-0.06	-0.08	0.17	0.21	0.08
asv4645	0	-0.04	-0.1	-0.37	-0.22	0.36	0.1	0.2	0.19
asv4785	0.43	0.18	0.19	0.02	-0.15	0.05	0.28	0.36	0.22
asv4934	0.11	-0.17	0.19	0.16	-0.01	-0.05	0.4	0.45	0.47
asv4949	0.05	-0.12	0.09	0.05	-0.03	0.02	0.25	0.29	0.31
asv4955	0.09	-0.07	0.01	-0.23	-0.19	0.27	0.25	0.35	0.33
asv4995	0.57	0.37	0.26	0.23	-0.03	-0.18	0.12	0.14	-0.06
asv5058	0.49	0.33	0.2	0.15	-0.05	-0.12	0.09	0.11	-0.07
asv5156	0.5	0.34	0.22	0.18	-0.04	-0.14	0.1	0.11	-0.06
asv5302	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv5342	0.66	0.43	0.33	0.36	0.01	-0.29	0.13	0.12	-0.1
asv5372	0.57	0.33	0.28	0.25	-0.03	-0.18	0.18	0.21	0.02
asv5377	0.19	-0.03	0.13	0	-0.1	0.07	0.3	0.37	0.34
asv5432	-0.01	-0.01	-0.12	-0.36	-0.2	0.34	0.04	0.12	0.1
asv5440	0.46	0.32	0.24	0.32	0.05	-0.27	0.06	0.03	-0.12
asv5454	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv5468	0.56	0.24	0.35	0.36	0.01	-0.25	0.3	0.32	0.17
asv5547	0.42	0.12	0.27	0.21	-0.04	-0.11	0.33	0.38	0.27
asv5582	0.65	0.38	0.37	0.44	0.05	-0.35	0.2	0.19	-0.02
asv5652	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv5745	0.06	-0.03	-0.06	-0.32	-0.22	0.33	0.16	0.26	0.24
asv5784	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv5900	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv6040	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv6101	0.16	-0.1	0.15	0.03	-0.08	0.06	0.36	0.44	0.42
asv6113	0.56	0.34	0.29	0.3	0	-0.23	0.15	0.16	-0.02
asv6142	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv6254	0.57	0.35	0.3	0.33	0.02	-0.26	0.14	0.14	-0.04
asv6329	0.16	-0.11	0.18	0.11	-0.04	-0.01	0.37	0.43	0.42
asv6362	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv6412	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv6516	0.05	-0.12	0.04	-0.14	-0.14	0.19	0.27	0.36	0.37
asv6545	0.62	0.35	0.32	0.29	-0.03	-0.21	0.23	0.25	0.05
asv6826	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv6909	0.11	-0.12	0.17	0.16	0	-0.07	0.33	0.36	0.37
asv7150	0.66	0.4	0.36	0.42	0.04	-0.34	0.17	0.16	-0.05
asv7275	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv7571	0.06	-0.11	0.05	-0.09	-0.11	0.15	0.27	0.34	0.35
asv7737	0.11	-0.15	0.17	0.11	-0.03	-0.01	0.37	0.43	0.44
asv8484	0.59	0.37	0.29	0.29	-0.01	-0.23	0.14	0.14	-0.05
asv8941	0.08	-0.15	0.15	0.12	-0.01	-0.03	0.32	0.37	0.39
asv8950	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv9064	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv9121	0.1	-0.15	0.17	0.14	-0.01	-0.04	0.35	0.39	0.41
asv9578	0.44	0.15	0.28	0.25	-0.02	-0.15	0.3	0.34	0.22
asv10535	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv10666	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv11029	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv11493	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv12129	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv12158	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv12950	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv14039	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv14040	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv14071	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv14072	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv14073	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv14074	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
